end_time,stagnant_time,provider,num_pickedup_LimeLime,num_pickedup_LimeBird,num_pickedup_BirdLime,num_pickedup_BirdBird
2019-06-14T12:26:40Z,1.33805555555556,Bird,0,0,15,28
2019-06-14T12:15:59Z,1.15722222222222,Bird,0,0,15,21
2019-06-14T13:55:28Z,2.80888888888889,Bird,0,0,38,64
2019-06-14T11:28:17Z,0.325555555555556,Lime,1,4,0,0
2019-06-14T13:56:26Z,2.765,Bird,0,0,37,64
2019-06-14T16:24:31Z,5.19944444444444,Bird,0,0,96,113
2019-06-14T12:18:53Z,1.09833333333333,Bird,0,0,14,22
2019-06-14T15:05:51Z,3.83666666666667,Bird,0,0,66,86
2019-06-14T15:44:06Z,4.42194444444444,Lime,77,100,0,0
2019-06-14T11:52:50Z,0.508888888888889,Bird,0,0,8,8
2019-06-14T12:51:49Z,1.47111111111111,Lime,19,36,0,0
2019-06-14T12:19:06Z,0.897777777777778,Bird,0,0,14,21
2019-06-14T12:18:47Z,0.888888888888889,Bird,0,0,14,19
2019-06-14T16:00:50Z,4.53,Bird,0,0,86,103
2019-06-14T12:47:33Z,1.28611111111111,Lime,15,35,0,0
2019-06-14T11:39:46Z,0.147222222222222,Lime,2,1,0,0
2019-06-14T11:49:25Z,0.101388888888889,Lime,1,3,0,0
2019-06-14T19:06:07Z,7.37194444444444,Lime,187,125,0,0
2019-06-14T11:50:28Z,0.0897222222222222,Bird,0,0,2,3
2019-06-14T14:44:17Z,2.94666666666667,Lime,47,68,0,0
2019-06-14T13:25:33Z,1.60055555555556,Bird,0,0,18,39
2019-06-14T16:42:48Z,4.83888888888889,Lime,98,111,0,0
2019-06-15T07:17:44Z,19.3647222222222,Bird,0,0,221,122
2019-06-14T12:14:54Z,0.306666666666667,Bird,0,0,6,4
2019-06-14T19:48:14Z,7.84888888888889,Bird,0,0,211,116
2019-06-14T14:00:30Z,2.04472222222222,Lime,29,52,0,0
2019-06-15T05:03:59Z,17.0702777777778,Bird,0,0,217,117
2019-06-14T12:49:42Z,0.705,Lime,6,22,0,0
2019-06-14T18:55:02Z,6.78638888888889,Lime,173,114,0,0
2019-06-14T14:29:59Z,2.36472222222222,Lime,36,56,0,0
2019-06-14T13:52:09Z,1.73333333333333,Bird,0,0,21,43
2019-06-14T17:13:53Z,5.07416666666667,Bird,0,0,106,113
2019-06-14T14:39:46Z,2.48638888888889,Lime,38,56,0,0
2019-06-16T04:07:33Z,39.9319444444444,Bird,0,0,417,355
2019-06-14T12:42:16Z,0.495,Bird,0,0,2,19
2019-06-14T13:31:15Z,1.30916666666667,Bird,0,0,17,32
2019-06-14T14:27:50Z,2.22305555555556,Lime,34,53,0,0
2019-06-14T16:55:49Z,4.67555555555556,Lime,95,108,0,0
2019-06-14T15:09:54Z,2.85638888888889,Lime,52,67,0,0
2019-06-14T15:16:26Z,2.90472222222222,Bird,0,0,54,65
2019-06-14T13:39:10Z,1.23027777777778,Bird,0,0,17,27
2019-06-14T13:39:11Z,1.22527777777778,Bird,0,0,17,28
2019-06-14T12:37:07Z,0.169166666666667,Bird,0,0,1,5
2019-06-14T12:59:48Z,0.360277777777778,Bird,0,0,5,5
2019-06-14T13:04:40Z,0.430555555555556,Bird,0,0,5,6
2019-06-14T13:05:08Z,0.412222222222222,Bird,0,0,5,5
2019-06-14T15:02:00Z,2.34361111111111,Bird,0,0,50,48
2019-06-15T07:22:47Z,18.6761111111111,Bird,0,0,213,101
2019-06-14T12:54:15Z,0.164722222222222,Lime,4,0,0,0
2019-06-14T13:56:31Z,1.12527777777778,Bird,0,0,19,26
2019-06-14T14:24:11Z,1.57694444444444,Bird,0,0,27,30
2019-06-14T15:40:24Z,2.82888888888889,Bird,0,0,55,61
2019-06-14T15:03:13Z,2.18305555555556,Bird,0,0,46,47
2019-06-14T14:56:28Z,2.07027777777778,Lime,41,42,0,0
2019-06-14T17:29:34Z,4.61194444444444,Lime,114,92,0,0
2019-06-14T14:24:00Z,1.47472222222222,Bird,0,0,24,28
2019-06-14T14:24:26Z,1.48027777777778,Bird,0,0,24,30
2019-06-14T14:08:06Z,1.20333333333333,Lime,17,27,0,0
2019-06-14T13:21:54Z,0.401944444444444,Lime,1,5,0,0
2019-06-15T11:19:30Z,22.3338888888889,Bird,0,0,224,143
2019-06-14T13:13:01Z,0.151388888888889,Bird,0,0,1,2
2019-06-14T15:36:29Z,2.53888888888889,Bird,0,0,52,55
2019-06-14T13:54:49Z,0.837777777777778,Bird,0,0,15,21
2019-06-14T17:12:51Z,4.08083333333333,Lime,95,88,0,0
2019-06-14T15:59:25Z,2.73555555555556,Bird,0,0,65,61
2019-06-14T14:51:43Z,1.58166666666667,Bird,0,0,36,34
2019-06-14T23:16:44Z,9.98222222222222,Bird,0,0,204,87
2019-06-14T13:36:03Z,0.292777777777778,Bird,0,0,9,8
2019-06-14T13:54:48Z,0.513611111111111,Bird,0,0,11,15
2019-06-14T13:32:09Z,0.123888888888889,Bird,0,0,6,4
2019-06-14T17:40:51Z,4.26416666666667,Lime,122,83,0,0
2019-06-14T13:29:44Z,0.0430555555555556,Lime,1,1,0,0
2019-06-14T14:58:06Z,1.50555555555556,Bird,0,0,38,34
2019-06-14T17:27:29Z,3.97166666666667,Lime,104,81,0,0
2019-06-14T13:43:02Z,0.225555555555556,Bird,0,0,5,8
2019-06-14T13:45:28Z,0.2475,Lime,1,9,0,0
2019-06-14T14:55:37Z,1.38805555555556,Bird,0,0,30,28
2019-06-14T13:55:14Z,0.376388888888889,Bird,0,0,5,10
2019-06-14T16:26:41Z,2.88333333333333,Lime,66,62,0,0
2019-06-14T15:19:37Z,1.75833333333333,Lime,38,38,0,0
